,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,3064.8,3143.6
30,3073.4,3136.8
31,3038.6,3059.0
32,2996.8,3003.2
33,2933.8,2940.0
34,2970.0,2993.0
35,2843.8,2805.2
36,2794.6,2766.0
37,2677.8,2656.6
38,2641.4,2595.4
39,2555.6,2530.0
40,2478.0,2405.4
41,2406.0,2350.2
42,2346.0,2281.0
43,2303.0,2246.8
44,2235.8,2170.0
45,2219.8,2120.6
46,2255.8,2208.6
47,2225.4,2116.2
48,2264.2,2194.4
49,2317.4,2227.0
50,2435.6,2353.4
51,2506.2,2450.4
52,2626.2,2576.2
53,2837.0,2847.6
54,2939.6,2958.8
55,3145.2,3216.4
56,3413.6,3511.0
57,3714.4,3895.8
58,3896.8,4140.4
59,4099.8,4374.2
60,4500.2,4871.0
61,4876.0,5303.6
62,5065.8,5518.0
63,5502.0,6128.6
64,5885.0,6556.6
65,6063.0,6756.4
66,6437.0,7275.2
67,6755.0,7645.2
68,6919.8,7822.0
69,7138.0,8092.6
70,7594.8,8730.4
71,7831.2,8947.0
72,7949.0,9059.4
73,8158.2,9326.2
74,8369.2,9608.6
75,8593.4,9892.8
76,8546.0,9803.0
77,8563.4,9803.2
78,8600.8,9814.4
79,8757.8,10014.8
80,8763.6,10011.2
81,8826.2,10095.6
82,8535.4,9623.0
83,8540.6,9710.4
84,8369.4,9472.2
85,8291.6,9351.8
86,8257.8,9254.0
87,7988.2,8801.6
88,7924.4,8717.4
89,7823.2,8624.4
90,7506.6,8226.4
91,7533.2,8163.8
92,7281.8,7817.4
93,7018.8,7465.0
94,6913.2,7358.4
95,6722.6,7090.2
96,6612.6,6909.8
97,6493.6,6662.4
98,6464.2,6607.8
99,6489.8,6613.2
100,6470.2,6546.2
101,6558.8,6702.8
102,6607.0,6650.4
103,6750.4,6769.0
104,6772.0,6778.0
105,6995.2,6991.6
106,7247.0,7250.4
107,7586.0,7641.4
108,7986.0,8072.8
109,8326.8,8449.8
110,8704.2,8748.4
111,9164.6,9276.0
112,9762.0,9967.4
113,10540.2,10835.0
114,10951.2,11276.4
115,11378.6,11812.2
116,11898.0,12300.2
117,12528.0,13027.0
118,13061.4,13627.6
119,13731.2,14293.6
120,14270.0,14883.4
121,15194.4,15905.0
122,16204.6,17092.4
123,16797.6,17681.8
124,17732.4,18735.8
125,18435.4,19565.2
126,19534.2,20802.2
127,20245.4,21723.8
128,21094.0,22485.6
129,21895.6,23319.4
130,22668.8,24198.8
131,23519.0,25074.0
132,24005.6,25693.6
133,24698.4,26419.2
134,25655.6,27520.8
135,26743.4,28813.6
136,27137.4,29052.2
137,28679.2,30897.6
138,28978.0,31266.0
139,29475.6,31725.2
140,30756.6,33286.2
141,31394.8,33828.0
142,32179.2,34783.0
143,32686.6,35334.8
144,33536.0,36423.6
145,34227.8,36992.0
146,34790.4,37608.4
147,35635.6,38467.6
148,36242.6,39201.0
149,36610.4,39413.6
150,37374.4,40443.8
151,37927.2,40859.8
152,38231.0,41257.0
153,38766.2,41922.2
154,39369.2,42485.0
155,40021.0,43387.0
156,40417.0,43698.0
157,40666.0,43797.0
158,41171.6,44274.0
159,41506.6,44803.8
160,41613.6,44879.6
161,41937.6,45214.2
162,42037.8,45206.4
163,42548.6,45662.2
164,42607.0,45859.2
165,43169.4,46446.0
166,42823.8,45877.6
167,43184.6,46536.6
168,42942.6,46189.2
169,43307.0,46465.6
170,43743.2,46931.2
171,43480.6,46698.4
172,43498.4,46557.2
173,43896.8,47054.2
174,43746.6,46741.8
175,43821.8,46966.6
176,43689.2,46607.0
177,43853.2,46782.8
178,43366.4,45984.6
179,43918.6,46768.0
180,43840.8,46749.2
181,43539.0,46446.4
182,43980.4,46753.8
183,43622.8,46387.8
184,43375.0,46015.8
185,43476.6,45967.4
186,42982.8,45574.2
187,42779.8,45072.0
188,42921.4,45205.8
189,42714.6,44924.6
190,42899.8,45136.4
191,42395.0,44462.4
192,42408.4,44618.6
193,42473.6,44601.6
194,42388.0,44703.8
195,41907.2,44127.0
196,41692.2,43942.6
197,41662.6,43733.6
198,41786.0,44111.6
199,41338.6,43668.8
200,41254.6,43640.8
201,40778.4,43177.6
202,40993.8,43502.4
203,40610.2,43129.4
204,40509.0,42762.8
205,40186.0,42488.0
206,40041.0,42212.8
207,39984.0,42070.4
208,39167.6,41306.8
209,39041.0,41090.4
210,39200.6,41407.0
211,38708.0,40953.6
212,38576.4,40628.4
213,38486.6,40546.6
214,38190.2,40246.0
215,37843.0,39800.2
216,37756.2,39803.2
217,37194.6,39195.8
218,37124.4,39086.6
219,36654.0,38421.8
220,36483.6,38306.0
221,36152.6,38001.6
222,36007.6,37780.0
223,35634.0,37444.2
224,35547.2,37333.2
225,35253.6,37167.4
226,34882.6,36515.4
227,34852.6,36457.0
228,34604.4,36017.6
229,34026.6,35595.8
230,33931.4,35624.6
231,33459.4,35087.0
232,33396.0,35038.2
233,32773.2,34286.0
234,32719.8,34329.0
235,32338.0,33891.2
236,31957.8,33312.4
237,32233.6,33585.8
238,31432.8,32782.0
239,31079.0,32361.4
240,31041.4,32422.0
241,30627.6,31910.4
242,30395.6,31697.6
243,30327.2,31552.4
244,30034.2,31504.0
245,29646.8,30960.4
246,29295.2,30589.4
247,28997.2,30327.0
248,28835.6,30096.8
249,28710.4,29832.2
250,28359.8,29642.0
251,28007.4,29176.4
252,28031.0,29186.6
253,27414.0,28540.6
254,27108.0,28219.2
255,26909.0,27927.0
256,26663.6,27695.8
257,26624.2,27752.0
258,26148.4,27174.4
259,25915.8,26888.0
260,25670.2,26711.8
261,25391.4,26385.0
262,25189.2,26267.4
263,24963.4,26012.2
264,24462.4,25394.0
265,24356.6,25359.4
266,24024.2,25062.0
267,23901.8,24933.8
268,23476.4,24551.6
269,23376.2,24203.6
270,23143.4,24100.6
271,22873.6,23812.4
272,22560.0,23388.6
273,22397.8,23261.4
274,22012.4,22903.8
275,21820.8,22683.2
276,21783.0,22656.2
277,21432.6,22313.6
278,21113.2,21937.4
279,20827.8,21527.6
280,20583.8,21313.8
281,20453.0,21064.8
282,20284.8,21034.2
283,19909.6,20580.8
284,19761.4,20443.0
285,19451.2,20039.4
286,19263.8,19913.2
287,19037.4,19581.4
288,18771.6,19386.4
289,18631.8,19123.2
290,18235.8,18749.6
291,18122.2,18690.2
292,18116.0,18606.4
293,17574.8,18098.6
294,17458.8,18037.2
295,17302.0,17820.0
296,17097.2,17625.8
297,16818.2,17263.6
298,16734.4,17174.8
299,16502.4,17043.2
300,16388.8,16903.2
301,16177.2,16548.2
302,15904.6,16316.4
303,15611.4,16076.0
304,15503.6,15932.0
305,15153.8,15591.6
306,15050.6,15448.2
307,14844.4,15215.4
308,14659.0,15013.0
309,14456.6,14851.4
310,14282.4,14584.8
311,14136.8,14448.8
312,13867.4,14132.2
313,13783.2,14173.0
314,13541.0,13951.4
315,13411.2,13771.4
316,13263.6,13553.0
317,13103.0,13457.2
318,12855.2,13208.2
319,12710.6,13029.2
320,12583.4,12847.6
321,12348.6,12665.0
322,12223.8,12549.2
323,12019.2,12301.6
324,11828.0,12105.8
325,11752.8,12047.8
326,11545.8,11809.2
327,11390.6,11624.8
328,11368.6,11601.0
329,11212.4,11460.2
330,10926.0,11163.6
331,10828.8,11091.4
332,10687.8,10940.4
333,10614.6,10812.2
334,10451.8,10669.4
335,10334.6,10509.2
336,10277.4,10500.6
337,10092.8,10259.0
338,9962.8,10181.0
339,9871.4,10079.8
340,9729.2,9944.8
341,9569.0,9739.6
342,9528.4,9704.4
343,9422.0,9578.2
344,9225.2,9373.8
345,9125.2,9315.2
346,8969.8,9147.2
347,8901.0,9115.4
348,8864.8,9047.6
349,8696.4,8846.6
350,8517.0,8716.4
351,8492.0,8651.2
352,8351.6,8533.0
353,8189.2,8271.2
354,8038.8,8128.4
355,8002.6,8161.8
356,7856.0,8052.2
357,7744.0,7858.4
358,7630.8,7791.0
359,7517.6,7625.4
