 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
384	550	7868.515	185.077	129.174	26.626	26.301	121.073	128
385	513	11327.464	111.904	122.468	25.883	25.236	50.951	129
386	531	11012.860	40.498	122.800	26.296	25.710	65.050	129
387	549	7841.441	185.115	129.069	26.798	26.084	131.589	129
388	537	10996.947	40.546	122.675	26.353	25.945	64.972	130
389	510	11377.162	111.942	122.440	25.841	25.128	45.400	130
390	552	7856.302	185.146	129.004	26.756	26.268	123.758	130
391	531	10936.664	40.548	122.840	26.353	25.655	79.166	131
392	512	11255.729	111.939	122.623	25.838	25.230	40.155	131
393	552	7768.524	185.128	129.137	26.847	26.179	132.098	131
394	532	10893.439	40.555	123.121	26.340	25.716	63.194	132
395	508	11301.655	111.927	122.770	25.708	25.160	53.268	132
396	551	7829.527	185.134	129.185	26.721	26.255	138.287	132
397	531	10901.414	40.572	123.011	26.292	25.715	67.934	133
398	512	11246.993	111.936	122.705	25.861	25.208	51.210	133
399	553	7815.373	185.157	129.081	26.823	26.250	131.435	133
400	531	11004.259	40.564	122.987	26.301	25.705	66.820	134
401	511	11292.666	111.949	122.641	26.014	25.011	42.690	134
402	553	7809.807	185.166	128.994	26.734	26.337	123.091	134
403	530	11007.229	40.598	122.999	26.329	25.630	69.130	135
404	512	11396.641	111.985	122.718	26.014	25.060	50.294	135
405	556	7869.909	185.161	129.065	26.846	26.370	134.771	135
406	534	10999.526	40.575	123.266	26.378	25.775	48.767	136
407	512	11392.292	111.956	122.829	25.870	25.199	55.382	136
408	555	7866.356	185.147	129.143	26.903	26.266	128.931	136
409	531	11006.137	40.542	123.195	26.242	25.763	71.635	137
410	511	11410.423	111.930	122.805	25.947	25.075	52.948	137
411	552	7898.679	185.114	129.039	26.757	26.267	134.567	137
412	535	11006.061	40.619	123.159	26.409	25.794	65.437	138
413	512	11403.126	111.974	122.740	25.935	25.136	51.129	138
414	553	7889.404	185.165	128.902	26.668	26.403	119.013	138
415	536	11002.844	40.668	123.157	26.477	25.775	60.841	139
416	513	11339.368	112.050	122.809	26.158	24.970	52.226	139
417	551	7892.072	185.209	128.897	26.670	26.305	129.256	139
418	533	11027.183	40.649	123.249	26.380	25.726	61.560	140
419	511	11387.896	112.018	122.894	25.945	25.077	57.891	140
420	553	7889.112	185.196	129.016	26.760	26.312	122.480	140
