5.301	15085915.000	5.007	69.290
5.295	15086136.000	5.005	69.765
5.298	15086185.000	5.010	70.262
5.295	15086235.000	5.007	69.295
5.291	15086735.000	5.007	69.760
5.315	15086785.000	5.007	70.267
5.305	15086835.000	5.007	69.295
5.285	15087336.000	5.008	69.746
5.311	15087386.000	5.005	70.267
5.311	15087436.000	5.008	69.314
5.268	15087936.000	5.008	69.769
5.325	15087986.000	5.008	70.267
5.318	15088036.000	5.008	69.290
5.278	15088535.000	5.005	69.774
5.315	15088585.000	5.007	70.253
5.308	15088635.000	5.008	69.304
5.281	15089136.000	5.005	69.769
5.311	15089186.000	5.008	70.276
5.328	15089236.000	5.005	69.295
5.278	15089736.000	5.010	69.760
5.325	15089786.000	5.007	70.271
5.352	15089836.000	5.005	69.295
5.251	15090335.000	5.005	69.769
5.355	15090385.000	5.008	70.267
5.338	15090435.000	5.005	69.286
5.241	15090935.000	5.005	69.765
5.345	15090985.000	5.005	70.253
5.352	15091035.000	5.008	69.295
5.241	15091536.000	5.008	69.760
5.362	15091586.000	5.008	70.271
5.301	15091635.000	4.992	69.779
5.274	15092191.000	4.982	69.774
5.268	15092291.000	4.960	69.774
5.224	15092391.000	4.926	69.792
5.144	15092491.000	4.862	69.783
5.039	15092591.000	4.757	69.788
4.828	15092691.000	4.580	69.788
4.526	15092791.000	4.310	69.792
4.120	15092891.000	3.940	69.779
3.646	15092991.000	3.505	69.783
3.200	15093091.000	3.068	69.792
2.800	15093190.000	2.700	69.792
2.572	15093290.000	2.434	69.774
2.377	15093391.000	2.255	69.779
2.300	15093491.000	2.150	69.779
2.236	15093591.000	2.085	69.783
2.226	15093691.000	2.053	69.779
2.176	15093791.000	2.031	69.769
2.149	15093891.000	2.020	69.774
1.944	15093990.000	2.006	69.779
2.112	15094090.000	2.007	69.774
2.092	15094190.000	2.007	69.783
2.082	15094290.000	2.006	69.779
2.082	15094390.000	2.006	69.792
2.082	15094490.000	2.007	69.788
2.072	15094590.000	2.004	69.779
2.095	15094690.000	2.009	69.779
2.072	15094790.000	2.006	69.779
2.099	15094890.000	2.007	69.774
2.088	15094990.000	2.009	69.783
2.088	15095090.000	2.004	69.774
2.075	15095190.000	2.006	69.783
2.065	15095290.000	2.006	69.783
2.045	15095390.000	2.007	69.797
