X	Y	idxAnalysis	StdDev	iL	Bead	idx_inNUp	idx_NUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
191.234	120.371	0	11243.439	1	<BeadTracker_V4.Bead object at 0x000002F2953645B0>	1	1	0	1	1	True	-99.0	M450-2025	M450-Strept	0
191.331	120.168	0	11155.752	1	<BeadTracker_V4.Bead object at 0x000002F295366F20>	1	2	3	4	3	True	-110.0	M450-2025	M450-Strept	3
191.409	120.3	0	11154.585	1	<BeadTracker_V4.Bead object at 0x000002F29297B160>	1	3	6	7	2	True	-111.0	M450-2025	M450-Strept	6
191.471	120.452	0	11131.616	1	<BeadTracker_V4.Bead object at 0x000002F292978C40>	1	4	9	10	2	True	-120.0	M450-2025	M450-Strept	9
191.65	120.361	0	11056.595	1	<BeadTracker_V4.Bead object at 0x000002F2920B76D0>	1	5	12	13	1	True	-121.0	M450-2025	M450-Strept	12
191.57	120.427	0	11129.076	1	<BeadTracker_V4.Bead object at 0x000002F2920B7400>	1	6	15	16	1	True	-111.0	M450-2025	M450-Strept	15
191.703	120.083	0	11105.565	1	<BeadTracker_V4.Bead object at 0x000002F2920B7010>	1	7	18	19	3	True	-120.0	M450-2025	M450-Strept	18
191.734	120.507	0	10949.999	1	<BeadTracker_V4.Bead object at 0x000002F291C82770>	1	8	21	22	1	True	-124.0	M450-2025	M450-Strept	21
191.842	120.239	0	10927.38	1	<BeadTracker_V4.Bead object at 0x000002F291C82350>	1	9	24	25	1	True	-131.0	M450-2025	M450-Strept	24
191.88	120.46	0	10878.567	1	<BeadTracker_V4.Bead object at 0x000002F291C83BE0>	1	10	27	28	1	True	-137.0	M450-2025	M450-Strept	27
192.151	120.382	-1	12365.669	1	<BeadTracker_V4.Bead object at 0x000002F291AE5360>	0	0	30	31	2	True	-128.0	M450-2025	M450-Strept	30
192.248	120.396	-1	12451.133	1	<BeadTracker_V4.Bead object at 0x000002F291AE6A70>	0	0	31	32	2	True	-131.0	M450-2025	M450-Strept	31
192.273	120.487	-1	12424.367	1	<BeadTracker_V4.Bead object at 0x000002F291AE6BF0>	0	0	32	33	2	True	-125.0	M450-2025	M450-Strept	32
192.243	120.658	-1	12450.849	1	<BeadTracker_V4.Bead object at 0x000002F291AE7370>	0	0	33	34	2	True	-130.0	M450-2025	M450-Strept	33
192.315	120.457	-1	12411.729	1	<BeadTracker_V4.Bead object at 0x000002F291AE4970>	0	0	34	35	2	True	-121.0	M450-2025	M450-Strept	34
192.322	120.681	-1	12425.302	1	<BeadTracker_V4.Bead object at 0x000002F2942C9BA0>	0	0	35	36	2	True	-126.0	M450-2025	M450-Strept	35
192.313	120.489	-1	12401.139	1	<BeadTracker_V4.Bead object at 0x000002F2942CAA70>	0	0	36	37	2	True	-127.0	M450-2025	M450-Strept	36
192.346	120.348	-1	12444.517	1	<BeadTracker_V4.Bead object at 0x000002F2942C8D30>	0	0	37	38	2	True	-131.0	M450-2025	M450-Strept	37
192.349	120.464	-1	12404.537	1	<BeadTracker_V4.Bead object at 0x000002F2942CB580>	0	0	38	39	2	True	-128.0	M450-2025	M450-Strept	38
192.311	120.361	-1	12498.928	1	<BeadTracker_V4.Bead object at 0x000002F2942CA2F0>	0	0	39	40	2	True	-148.0	M450-2025	M450-Strept	39
192.194	120.755	-1	12364.066	1	<BeadTracker_V4.Bead object at 0x000002F2942C9930>	0	0	40	41	2	True	-162.0	M450-2025	M450-Strept	40
192.219	120.616	-1	12469.375	1	<BeadTracker_V4.Bead object at 0x000002F2942CB100>	0	0	41	42	2	True	-153.0	M450-2025	M450-Strept	41
192.123	120.611	-1	12416.641	1	<BeadTracker_V4.Bead object at 0x000002F2942C8850>	0	0	42	43	2	True	-157.0	M450-2025	M450-Strept	42
192.175	120.738	-1	12368.783	1	<BeadTracker_V4.Bead object at 0x000002F291B8F6A0>	0	0	43	44	2	True	-164.0	M450-2025	M450-Strept	43
192.185	120.496	-1	12395.051	1	<BeadTracker_V4.Bead object at 0x000002F291B8C970>	0	0	44	45	2	True	-158.0	M450-2025	M450-Strept	44
192.23	120.749	-1	12366.79	1	<BeadTracker_V4.Bead object at 0x000002F291B8C760>	0	0	45	46	2	True	-165.0	M450-2025	M450-Strept	45
192.26	120.682	-1	12414.354	1	<BeadTracker_V4.Bead object at 0x000002F291B8DEA0>	0	0	46	47	2	True	-159.0	M450-2025	M450-Strept	46
192.327	120.605	-1	12350.13	1	<BeadTracker_V4.Bead object at 0x000002F291B8FCD0>	0	0	47	48	2	True	-165.0	M450-2025	M450-Strept	47
192.305	120.675	-1	12333.294	1	<BeadTracker_V4.Bead object at 0x000002F291B8D570>	0	0	48	49	2	True	-170.0	M450-2025	M450-Strept	48
