5.422	37790802.000	5.008	69.304
5.402	37791021.000	5.007	69.760
5.395	37791071.000	5.007	70.262
5.405	37791120.000	5.008	69.290
5.402	37791621.000	5.008	69.769
5.402	37791671.000	5.008	70.271
5.402	37791721.000	5.007	69.314
5.399	37792220.000	5.008	69.760
5.399	37792270.000	5.005	70.271
5.415	37792320.000	5.007	69.304
5.382	37792821.000	5.005	69.760
5.442	37792871.000	5.005	70.267
5.449	37792920.000	5.007	69.295
5.375	37793420.000	5.007	69.765
5.422	37793471.000	5.007	70.267
5.436	37793520.000	5.007	69.309
5.362	37794020.000	5.005	69.765
5.446	37794070.000	5.007	70.262
5.419	37794121.000	5.005	69.304
5.368	37794620.000	5.007	69.765
5.449	37794670.000	5.008	70.267
5.426	37794721.000	5.007	69.314
5.389	37795221.000	5.005	69.765
5.449	37795270.000	5.007	70.267
5.419	37795321.000	5.008	69.309
5.375	37795820.000	5.005	69.746
5.436	37795871.000	5.008	70.262
5.432	37795921.000	5.007	69.290
5.399	37796420.000	5.007	69.765
5.432	37796470.000	5.007	70.271
5.402	37796520.000	4.994	69.783
5.399	37797076.000	4.980	69.792
5.402	37797176.000	4.963	69.788
5.348	37797275.000	4.929	69.783
5.248	37797375.000	4.861	69.797
5.154	37797476.000	4.756	69.783
4.935	37797576.000	4.583	69.779
4.633	37797675.000	4.311	69.779
4.220	37797775.000	3.942	69.783
3.747	37797875.000	3.505	69.769
3.267	37797976.000	3.069	69.783
2.861	37798076.000	2.698	69.779
2.636	37798176.000	2.432	69.783
2.438	37798275.000	2.260	69.779
2.337	37798376.000	2.150	69.774
2.276	37798476.000	2.085	69.774
2.253	37798576.000	2.053	69.774
2.206	37798675.000	2.034	69.779
2.193	37798775.000	2.023	69.788
2.045	37798875.000	2.007	69.774
2.196	37798976.000	2.006	69.792
2.166	37799076.000	2.006	69.788
2.193	37799175.000	2.007	69.788
2.209	37799276.000	2.009	69.783
2.182	37799375.000	2.004	69.788
2.166	37799475.000	2.006	69.792
2.203	37799576.000	2.006	69.783
2.213	37799675.000	2.007	69.783
2.209	37799775.000	2.004	69.779
2.162	37799875.000	2.009	69.792
2.213	37799976.000	2.006	69.788
2.189	37800076.000	2.010	69.779
2.189	37800175.000	2.006	69.779
2.189	37800275.000	2.004	69.783
2.219	37800376.000	2.009	69.774
2.209	37800476.000	2.006	69.783
2.193	37800576.000	2.004	69.779
2.186	37800675.000	2.009	69.783
2.213	37800775.000	2.006	69.783
2.206	37800875.000	2.007	69.783
2.135	37800975.000	2.009	69.783
2.182	37800988.000	2.019	69.792
2.206	37801000.000	2.032	69.783
2.203	37801012.000	2.047	69.783
2.276	37801024.000	2.075	69.779
2.293	37801035.000	2.103	69.792
2.344	37801047.000	2.137	69.783
2.360	37801059.000	2.178	69.783
2.431	37801071.000	2.224	69.788
2.542	37801084.000	2.277	69.792
2.595	37801096.000	2.331	69.802
2.666	37801108.000	2.396	69.779
2.696	37801120.000	2.462	69.788
2.783	37801132.000	2.533	69.788
2.968	37801144.000	2.611	69.788
3.015	37801156.000	2.697	69.779
3.133	37801168.000	2.785	69.788
3.203	37801180.000	2.880	69.779
3.310	37801192.000	2.979	69.783
3.502	37801204.000	3.082	69.779
3.576	37801216.000	3.193	69.779
3.717	37801228.000	3.310	69.769
3.804	37801239.000	3.431	69.792
3.995	37801251.000	3.556	69.792
4.227	37801263.000	3.689	69.779
4.301	37801275.000	3.821	69.783
4.462	37801287.000	3.966	69.774
4.586	37801298.000	4.115	69.792
4.828	37801310.000	4.271	69.783
5.053	37801322.000	4.429	69.783
5.147	37801334.000	4.590	69.788
5.348	37801346.000	4.759	69.788
5.530	37801358.000	4.934	69.779
5.751	37801370.000	5.118	69.769
6.013	37801385.000	5.301	69.783
6.154	37801398.000	5.490	69.779
6.406	37801409.000	5.689	69.788
6.584	37801421.000	5.889	69.792
6.815	37801433.000	6.097	69.788
7.134	37801445.000	6.311	69.783
7.326	37801457.000	6.525	69.792
7.594	37801469.000	6.750	69.783
7.799	37801481.000	6.980	69.788
8.084	37801492.000	7.211	69.779
8.373	37801503.000	7.450	69.783
8.659	37801518.000	7.698	69.792
8.917	37801527.000	7.949	69.783
9.145	37801539.000	8.200	69.783
9.471	37801551.000	8.463	69.788
9.827	37801568.000	8.730	69.783
10.082	37801575.000	9.001	69.788
10.367	37801586.000	9.277	69.779
10.616	37801600.000	9.559	69.774
11.002	37801612.000	9.845	69.783
11.388	37801622.000	10.139	69.792
11.660	37801634.000	10.438	69.783
11.982	37801646.000	10.742	69.788
12.264	37801658.000	11.052	69.774
12.694	37801670.000	11.367	69.788
13.077	37801684.000	11.684	69.783
13.409	37801696.000	12.012	69.783
13.772	37801707.000	12.342	69.788
14.064	37801719.000	12.675	69.783
14.490	37801731.000	13.017	69.774
14.906	37801743.000	13.368	69.783
15.262	37801755.000	13.718	69.788
15.658	37801767.000	14.074	69.792
16.031	37801778.000	14.440	69.788
16.488	37801790.000	14.808	69.792
16.924	37801805.000	15.177	69.783
