 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
1	547	7275.846	119.557	119.670	27.995	24.878	123.585	1
2	280	11243.439	191.234	120.371	19.233	18.537	67.473	1
3	276	12851.985	262.458	120.776	19.221	18.282	85.651	1
4	622	5031.924	119.931	119.885	30.403	26.049	113.701	2
5	518	10991.344	262.433	120.546	26.038	25.330	47.053	2
6	336	12382.405	191.360	120.517	21.398	19.993	104.348	2
7	109	434.977	144.589	159.989	14.534	9.549	157.342	2
8	740	3176.475	120.118	119.269	32.899	28.639	111.892	3
9	519	10363.458	191.353	120.156	26.114	25.305	32.724	3
10	512	8487.443	262.249	120.429	25.810	25.258	76.138	3
11	113	704.268	130.987	71.090	13.222	10.882	121.907	4
12	174	375.527	152.053	82.354	16.574	13.367	167.476	4
13	550	7157.631	119.655	119.568	28.069	24.949	122.081	4
14	278	11155.752	191.331	120.168	19.039	18.591	69.367	4
15	283	12750.464	262.555	120.507	19.691	18.299	80.634	4
16	626	4985.130	120.057	119.694	30.352	26.260	111.794	5
17	514	11009.050	262.562	120.260	25.806	25.360	53.640	5
18	321	12462.574	191.446	120.102	21.051	19.415	103.228	5
19	109	404.919	144.474	159.817	14.183	9.785	165.296	5
20	746	3158.608	120.168	119.283	33.110	28.687	114.785	6
21	516	10404.921	191.441	119.949	26.186	25.090	49.959	6
22	514	8572.006	262.353	120.021	25.897	25.271	82.084	6
23	122	702.187	130.864	71.241	13.695	11.342	128.315	7
24	551	7170.228	119.713	119.798	27.930	25.119	124.001	7
25	279	11154.585	191.409	120.300	19.165	18.535	76.215	7
26	275	12780.677	262.648	120.546	19.122	18.311	69.576	7
27	622	4952.300	120.098	120.001	30.300	26.137	114.758	8
28	520	10964.499	262.644	120.676	26.239	25.233	47.062	8
29	321	12439.938	191.504	120.545	21.321	19.169	103.004	8
30	104	410.414	145.001	159.949	14.838	8.924	155.192	8
31	743	3148.454	120.295	119.457	33.077	28.600	111.429	9
32	516	10392.527	191.569	120.272	26.216	25.061	49.424	9
33	516	8596.448	262.529	120.754	26.034	25.236	78.212	9
34	179	370.165	152.189	82.565	17.238	13.221	174.034	10
35	549	7185.253	119.784	119.657	27.995	24.969	123.136	10
36	280	11131.616	191.471	120.452	19.169	18.598	71.116	10
37	277	12715.050	262.727	120.892	19.295	18.279	76.223	10
38	623	5034.882	120.237	119.708	30.425	26.071	116.549	11
39	517	11018.299	262.742	120.825	26.004	25.314	74.522	11
40	308	12544.342	191.601	120.377	20.516	19.115	104.608	11
41	108	431.636	144.711	159.818	14.316	9.605	156.155	11
42	159	339.019	152.375	83.706	15.900	12.732	152.465	12
43	739	3193.742	120.452	119.133	32.936	28.568	110.487	12
44	511	10470.332	191.665	120.149	25.879	25.141	44.966	12
45	514	8702.819	262.602	120.587	25.966	25.204	67.346	12
46	549	7152.785	120.032	119.575	27.902	25.053	121.262	13
47	282	11056.595	191.650	120.361	19.159	18.741	66.689	13
48	272	12635.985	262.883	120.677	18.909	18.315	77.230	13
49	136	378.124	145.663	160.282	15.559	11.130	161.329	13
50	622	4949.140	120.403	119.860	30.507	25.960	111.912	14
51	520	11001.001	262.894	120.799	26.024	25.442	70.772	14
52	308	12463.420	191.748	120.512	20.426	19.199	109.399	14
53	108	415.478	145.101	160.101	14.381	9.562	151.401	14
54	144	328.907	152.678	84.236	14.966	12.250	149.416	15
55	743	3163.476	120.583	119.450	33.040	28.633	110.095	15
56	514	10424.907	191.796	120.438	25.927	25.242	34.438	15
57	513	8653.205	262.712	120.735	25.941	25.179	72.726	15
58	546	7093.463	119.938	119.730	27.934	24.887	120.925	16
59	283	11129.076	191.570	120.427	19.242	18.726	64.797	16
60	277	12792.141	262.818	120.517	19.266	18.306	83.223	16
61	629	4887.827	120.382	119.925	30.655	26.125	112.367	17
62	523	10941.173	262.842	120.416	26.080	25.533	40.490	17
63	323	12402.218	191.752	120.450	21.070	19.519	113.726	17
64	101	394.644	145.246	160.130	14.173	9.073	152.829	17
65	750	3123.800	120.571	119.254	33.262	28.709	110.985	18
66	515	10363.926	191.749	120.105	26.152	25.073	51.989	18
67	512	8513.750	262.659	120.137	25.831	25.237	83.546	18
68	118	769.261	131.388	71.310	13.888	10.818	113.857	19
69	551	7046.506	120.047	119.730	28.068	24.995	122.870	19
70	276	12712.007	262.942	120.024	19.233	18.271	78.773	19
71	280	11105.565	191.703	120.083	19.063	18.702	63.055	19
72	629	4910.188	120.440	120.023	30.571	26.197	111.092	20
73	523	10944.309	262.932	120.267	26.036	25.576	50.302	20
74	316	12409.687	191.810	120.312	20.808	19.336	108.527	20
75	103	417.022	145.508	160.089	14.075	9.317	153.384	20
76	147	342.949	152.281	84.054	15.173	12.336	154.689	21
77	748	3150.942	120.597	119.619	33.223	28.666	111.733	21
78	519	10387.130	191.825	120.133	26.143	25.277	40.212	21
79	512	8587.740	262.721	120.100	25.807	25.260	85.603	21
80	549	7007.661	120.131	120.142	27.809	25.136	120.405	22
81	281	10949.999	191.734	120.507	19.188	18.646	75.019	22
82	277	12601.491	262.970	120.460	19.362	18.215	84.475	22
83	619	4907.120	120.551	120.274	30.450	25.883	112.965	23
84	519	11001.732	263.070	120.298	26.046	25.371	55.856	23
85	305	12492.447	191.881	120.457	20.551	18.896	118.401	23
86	100	408.498	145.616	160.298	13.213	9.636	152.655	23
87	742	3154.631	120.777	119.512	33.100	28.542	111.057	24
88	519	10417.868	191.926	120.102	26.285	25.140	35.470	24
89	514	8775.099	262.855	120.029	26.121	25.055	76.937	24
90	551	7089.058	120.277	119.895	28.125	24.944	122.280	25
91	280	10927.380	191.842	120.239	19.160	18.607	86.625	25
92	271	12595.411	263.095	120.100	18.861	18.294	77.222	25
93	624	4984.815	120.691	120.070	30.610	25.956	110.946	26
94	513	11150.568	263.161	120.212	25.935	25.185	62.602	26
95	306	12482.525	191.989	120.326	20.500	19.005	115.965	26
96	109	436.680	145.756	160.153	13.367	10.383	163.263	26
97	749	3202.100	120.829	119.586	33.240	28.690	112.094	27
98	516	10537.032	191.985	120.232	26.122	25.151	35.835	27
99	511	8935.181	262.918	120.327	25.614	25.402	83.805	27
100	547	7038.726	120.384	119.954	27.863	24.996	121.487	28
101	278	10878.567	191.880	120.460	19.214	18.422	81.612	28
102	271	12557.099	263.102	120.356	19.006	18.155	87.320	28
103	624	4940.264	120.712	120.187	30.538	26.017	113.300	29
104	512	11109.713	263.144	120.490	25.734	25.333	88.919	29
105	292	12472.237	191.956	120.419	19.838	18.741	104.546	29
106	101	443.236	145.506	160.167	13.113	9.807	158.468	29
107	149	354.577	152.824	83.917	15.237	12.451	150.902	30
108	750	3203.606	120.982	119.441	33.653	28.376	111.194	30
109	517	10531.425	192.061	120.159	26.262	25.066	38.225	30
110	519	8959.976	263.048	120.156	25.965	25.450	69.160	30
111	630	4822.327	120.925	120.071	30.336	26.441	111.005	31
112	513	11062.879	263.323	120.326	25.762	25.354	54.436	31
113	308	12365.669	192.151	120.382	20.392	19.231	109.692	31
114	636	4830.074	121.028	119.965	30.509	26.542	111.215	32
115	516	11078.089	263.390	120.355	26.007	25.262	54.034	32
116	303	12451.133	192.248	120.396	20.080	19.213	118.878	32
117	634	4836.834	121.056	119.951	30.655	26.333	113.889	33
118	519	11059.637	263.391	120.478	25.791	25.622	69.573	33
119	313	12424.367	192.273	120.487	20.763	19.194	123.586	33
120	634	4814.432	121.030	120.047	30.487	26.478	110.994	34
121	516	11051.589	263.396	120.719	26.083	25.188	61.503	34
122	306	12450.849	192.243	120.658	20.441	19.060	117.606	34
123	630	4808.970	121.082	119.820	30.415	26.374	110.747	35
124	517	11039.463	263.448	120.415	26.025	25.294	58.620	35
125	311	12411.729	192.315	120.457	20.647	19.178	124.166	35
126	632	4819.986	121.065	120.081	30.409	26.463	110.722	36
127	508	11104.239	263.463	120.592	25.596	25.270	82.222	36
128	311	12425.302	192.322	120.681	20.638	19.187	134.258	36
129	101	413.413	145.602	160.630	12.912	9.960	161.748	36
130	635	4791.791	121.103	120.000	30.749	26.294	112.818	37
131	515	11073.042	263.493	120.222	25.781	25.434	56.685	37
132	308	12401.139	192.313	120.489	20.327	19.292	117.915	37
133	633	4808.449	121.112	119.894	30.688	26.263	113.235	38
134	516	11065.886	263.493	120.256	25.872	25.394	69.110	38
135	302	12444.517	192.346	120.348	20.159	19.074	134.158	38
136	631	4795.068	121.144	119.988	30.667	26.198	116.533	39
137	512	11126.464	263.520	120.309	25.913	25.157	59.098	39
138	306	12404.537	192.349	120.464	20.229	19.260	127.990	39
139	627	4789.799	121.186	119.836	30.819	25.903	117.079	40
140	510	11167.632	263.597	120.377	25.833	25.136	59.312	40
141	290	12498.928	192.311	120.361	19.644	18.797	90.821	40
142	104	415.552	145.780	160.167	13.437	9.854	158.823	40
143	630	4786.586	121.166	120.111	30.668	26.155	114.897	41
144	505	11168.383	263.450	121.292	25.718	25.002	50.377	41
145	286	12364.066	192.194	120.755	19.740	18.447	93.958	41
146	101	427.029	145.815	160.544	13.777	9.334	167.281	41
147	633	4788.872	121.209	119.995	30.805	26.164	113.532	42
148	515	11119.714	263.407	121.428	25.948	25.270	57.365	42
149	284	12469.375	192.219	120.616	19.607	18.442	89.851	42
150	628	4783.586	121.187	120.015	30.646	26.091	116.028	43
151	517	11079.989	263.225	122.118	25.919	25.397	55.541	43
152	279	12416.641	192.123	120.611	19.485	18.231	84.532	43
153	630	4770.645	121.194	120.222	30.756	26.080	115.852	44
154	516	11073.732	263.259	122.574	26.014	25.255	66.750	44
155	282	12368.783	192.175	120.738	19.591	18.327	94.323	44
156	101	436.991	146.102	160.694	13.839	9.292	162.114	44
157	640	4772.149	121.262	120.050	30.860	26.406	112.964	45
158	517	11103.141	263.292	122.168	25.918	25.398	52.663	45
159	278	12395.051	192.185	120.496	19.118	18.515	87.682	45
160	103	427.391	145.978	160.510	13.399	9.788	161.530	45
161	641	4737.123	121.298	120.317	30.743	26.547	112.616	46
162	520	11008.520	263.310	122.462	26.120	25.348	58.978	46
163	286	12366.790	192.230	120.749	19.642	18.539	80.839	46
164	643	4739.444	121.360	120.155	31.000	26.410	113.177	47
165	517	11095.209	263.357	122.493	26.138	25.184	57.717	47
166	282	12414.354	192.260	120.682	19.584	18.334	85.489	47
167	633	4739.267	121.393	120.098	30.661	26.287	110.645	48
168	516	11053.226	263.390	122.380	25.916	25.351	50.562	48
169	282	12350.130	192.327	120.605	19.525	18.389	83.958	48
170	640	4742.831	121.413	120.086	30.791	26.465	111.186	49
171	513	11088.000	263.378	122.412	25.905	25.215	52.891	49
172	278	12333.294	192.305	120.675	19.096	18.536	95.386	49
173	637	4748.378	121.563	120.039	30.614	26.493	109.416	50
174	519	11065.729	263.524	122.114	26.017	25.399	53.916	50
175	281	12316.029	192.468	120.535	19.177	18.657	80.526	50
176	635	4743.134	121.536	120.307	30.552	26.463	110.028	51
177	516	11141.637	263.525	122.499	26.051	25.219	49.511	51
178	274	12365.161	192.449	120.774	19.174	18.194	73.356	51
179	637	4735.490	121.613	120.208	30.759	26.368	109.150	52
180	518	11103.208	263.573	122.006	26.145	25.226	65.929	52
181	276	12302.948	192.526	120.514	19.065	18.433	85.745	52
182	630	4736.674	121.616	120.426	30.641	26.179	110.864	53
183	515	11131.687	263.576	122.421	26.065	25.157	37.534	53
184	278	12283.547	192.507	120.693	19.190	18.445	87.395	53
185	631	4739.659	121.683	120.284	30.465	26.372	111.344	54
186	515	11131.350	263.627	122.318	25.870	25.347	52.493	54
187	280	12281.100	192.566	120.567	19.333	18.440	90.655	54
188	630	4730.366	121.637	120.327	30.498	26.301	110.391	55
189	512	11136.482	263.585	122.306	25.962	25.109	49.538	55
190	279	12278.277	192.534	120.690	19.347	18.361	86.468	55
191	639	4743.386	121.711	120.548	30.801	26.415	111.021	56
192	520	11112.019	263.649	122.023	26.132	25.337	63.899	56
193	273	12300.561	192.567	120.709	19.200	18.104	75.452	56
194	639	4720.126	121.719	120.386	30.516	26.662	107.214	57
195	516	11138.424	263.653	122.276	25.880	25.386	50.586	57
196	277	12253.158	192.598	120.644	19.164	18.404	83.357	57
197	640	4691.061	121.761	120.513	30.750	26.500	112.266	58
198	515	11172.126	263.618	122.787	25.975	25.244	55.481	58
199	272	12293.402	192.538	120.768	18.724	18.496	3.008	58
200	170	378.783	149.788	159.135	20.293	10.667	27.746	58
201	638	4715.319	121.729	120.483	30.910	26.280	110.675	59
202	513	11196.211	263.662	123.019	25.824	25.293	41.384	59
203	273	12284.852	192.563	120.877	18.924	18.368	87.572	59
204	636	4714.516	121.702	120.413	30.746	26.338	113.042	60
205	512	11165.017	263.615	122.461	25.850	25.218	61.999	60
206	276	12244.273	192.483	120.677	19.235	18.270	75.442	60
207	161	370.101	149.683	158.999	19.474	10.526	29.063	60
208	638	4706.326	121.725	120.468	30.599	26.547	108.075	61
209	512	11233.732	263.600	122.967	25.845	25.224	68.185	61
210	267	12311.267	192.493	120.879	18.700	18.180	82.407	61
211	160	354.055	149.946	159.085	18.966	10.741	27.512	61
212	636	4696.170	121.727	120.425	30.666	26.406	108.790	62
213	510	11249.134	263.655	122.404	25.911	25.061	44.085	62
214	273	12250.817	192.499	120.569	18.973	18.320	83.090	62
215	641	4706.524	121.723	120.483	30.920	26.396	110.221	63
216	511	11197.311	263.637	122.454	25.842	25.177	54.950	63
217	274	12237.234	192.490	120.635	19.086	18.279	82.252	63
218	634	4713.057	121.786	120.419	30.489	26.476	107.901	64
219	505	11265.331	263.739	122.242	25.612	25.105	53.420	64
220	272	12219.215	192.567	120.520	19.182	18.055	81.035	64
221	161	354.691	150.350	158.876	19.658	10.428	24.346	64
222	638	4727.502	121.723	120.477	30.790	26.383	110.272	65
223	503	11356.385	263.707	122.350	25.672	24.947	52.090	65
224	274	12236.901	192.525	120.559	19.105	18.261	85.980	65
225	165	386.909	150.117	158.731	19.745	10.640	25.821	65
226	632	4726.295	121.751	120.509	30.619	26.281	111.303	66
227	500	11384.471	263.717	122.503	25.588	24.879	55.464	66
228	275	12199.620	192.527	120.641	18.968	18.460	78.164	66
229	162	380.065	149.984	159.021	19.392	10.636	26.989	66
230	166	403.008	153.157	83.252	16.466	12.836	171.214	67
231	635	4743.896	121.796	120.356	30.528	26.484	108.647	67
232	504	11318.709	263.820	121.952	25.758	24.913	59.502	67
233	277	12135.878	192.596	120.322	19.090	18.475	85.469	67
234	165	367.960	150.091	158.879	19.327	10.870	25.118	67
235	640	4712.720	121.819	120.609	30.967	26.315	112.503	68
236	503	11315.010	263.804	122.580	25.810	24.813	55.720	68
237	274	12123.218	192.577	120.735	19.030	18.332	95.925	68
238	640	4721.912	121.853	120.538	30.920	26.355	111.816	69
239	500	11300.865	263.859	122.259	25.591	24.877	62.102	69
240	271	12178.979	192.657	120.551	19.062	18.101	80.109	69
241	160	375.357	150.155	159.249	19.473	10.462	26.469	69
242	641	4721.241	121.894	120.700	30.770	26.524	108.554	70
243	503	11317.804	263.855	122.401	25.502	25.113	54.977	70
244	274	12174.645	192.638	120.730	19.102	18.263	81.663	70
245	160	361.226	150.245	159.000	19.275	10.569	25.509	70
246	163	399.277	153.215	83.351	16.509	12.571	178.877	71
247	637	4706.839	121.869	120.521	30.638	26.472	112.220	71
248	502	11286.191	263.814	122.150	25.665	24.904	44.330	71
249	276	12141.700	192.615	120.520	19.174	18.328	79.614	71
250	166	365.191	150.106	158.919	19.691	10.734	25.909	71
251	636	4740.707	121.816	120.481	30.767	26.320	109.725	72
252	503	11339.086	263.771	122.230	25.746	24.876	52.568	72
253	276	12172.591	192.581	120.476	19.185	18.317	79.665	72
254	163	375.021	150.272	158.896	19.502	10.642	25.898	72
255	631	4711.163	121.753	120.587	30.787	26.096	110.816	73
256	500	11334.192	263.761	122.356	25.615	24.854	59.775	73
257	273	12172.702	192.532	120.590	19.077	18.221	75.679	73
258	635	4718.747	121.766	120.570	30.731	26.309	112.619	74
259	502	11307.610	263.704	122.426	25.691	24.879	51.350	74
260	274	12125.661	192.482	120.624	18.991	18.370	75.980	74
261	638	4719.379	121.819	120.451	30.663	26.492	108.940	75
262	503	11311.142	263.779	122.089	25.747	24.874	55.827	75
263	276	12163.710	192.572	120.468	19.219	18.285	80.149	75
264	639	4702.828	121.830	120.500	30.868	26.357	110.091	76
265	506	11299.281	263.796	122.211	25.917	24.858	59.831	76
266	273	12138.123	192.561	120.502	19.130	18.170	78.751	76
267	640	4713.108	121.825	120.653	31.019	26.270	109.708	77
268	506	11238.187	263.820	122.376	25.629	25.138	37.677	77
269	277	12131.009	192.610	120.623	19.398	18.181	78.927	77
270	167	372.107	150.252	159.216	19.859	10.707	24.211	77
271	642	4718.386	121.820	120.756	30.919	26.438	110.229	78
272	500	11353.108	263.801	122.110	25.660	24.810	61.879	78
273	271	12182.726	192.580	120.709	18.895	18.262	66.985	78
274	633	4716.566	121.800	120.568	30.839	26.134	109.473	79
275	495	11401.026	263.781	122.256	25.684	24.539	49.292	79
276	273	12158.089	192.579	120.646	19.135	18.166	70.488	79
277	635	4719.287	121.813	120.542	30.850	26.208	110.294	80
278	504	11325.120	263.803	121.960	25.872	24.803	53.902	80
279	275	12146.413	192.586	120.507	18.972	18.456	70.839	80
280	639	4731.436	121.806	120.679	30.872	26.354	111.967	81
281	493	11384.387	263.799	122.228	25.519	24.598	53.391	81
282	273	12136.644	192.547	120.690	18.915	18.377	88.588	81
283	633	4706.367	121.798	120.810	30.654	26.292	109.332	82
284	496	11365.074	263.806	122.225	25.639	24.632	49.512	82
285	273	12114.091	192.557	120.759	18.955	18.338	75.925	82
286	163	372.720	150.242	159.408	19.303	10.752	24.276	82
287	640	4731.806	121.814	120.686	30.805	26.453	109.813	83
288	499	11370.997	263.803	121.947	25.666	24.755	62.133	83
289	271	12181.059	192.566	120.638	18.977	18.182	83.357	83
290	643	4730.024	121.846	120.494	30.979	26.428	108.832	84
291	501	11304.324	263.877	121.716	25.735	24.787	60.502	84
292	276	12152.013	192.625	120.489	19.144	18.357	83.813	84
293	637	4718.516	121.841	120.582	30.750	26.376	109.326	85
294	498	11359.489	263.857	121.554	25.788	24.588	50.261	85
