 	Area	StdDev	XM	YM	Slice
165	387	11696.668	79.886	90.918	217
166	366	11876.185	79.637	91.102	218
167	359	11887.526	79.237	90.921	219
168	344	11948.940	78.696	89.264	220
169	329	11920.172	78.493	89.711	221
170	313	12028.645	78.723	89.496	222
171	302	12054.791	78.687	89.789	223
172	291	12034.061	79.122	90.183	224
173	290	11956.433	78.786	89.622	225
174	287	11921.843	78.681	89.568	226
175	286	11790.460	78.278	88.657	227
176	278	11781.879	78.946	88.219	228
177	280	11727.020	79.038	89.015	229
178	277	11640.755	79.097	88.563	230
179	280	11483.952	79.724	87.794	231
180	279	11469.016	79.850	87.726	232
181	280	11387.907	79.363	88.708	233
182	283	11302.865	79.459	88.166	234
183	279	11248.078	79.971	89.094	235
184	285	11145.659	79.581	89.309	236
185	282	11075.420	79.848	89.326	237
186	281	11009.473	79.907	89.737	238
187	284	10885.050	80.460	90.413	239
188	283	10874.454	80.864	91.162	240
189	285	10714.365	80.395	90.663	241
190	282	10652.439	80.013	90.359	242
191	284	10549.386	79.390	90.725	243
192	288	10380.440	79.279	91.159	244
193	288	10350.467	79.417	90.864	245
194	290	10276.988	79.347	90.789	246
195	285	10159.722	79.132	90.295	247
196	289	10084.105	79.037	89.563	248
197	289	10025.440	79.218	91.681	249
198	294	9915.208	79.563	91.091	250
199	295	9837.358	79.256	90.517	251
200	296	9722.210	79.100	92.494	252
201	296	9638.772	79.041	92.863	253
202	299	9575.125	79.429	92.751	254
203	302	9499.951	79.124	92.201	255
204	300	9349.967	78.207	91.842	256
205	303	9285.469	77.981	91.552	257
206	304	9184.136	77.775	92.114	258
207	302	9084.767	77.090	91.199	259
208	310	8892.109	77.170	91.817	260
209	309	8875.915	77.604	91.973	261
210	305	8757.764	77.408	92.620	262
211	314	8681.755	77.334	92.956	263
212	317	8595.992	77.817	93.107	264
213	311	8443.294	77.619	92.461	265
214	320	8388.651	77.979	91.197	266
215	317	8285.825	77.853	91.607	267
216	323	8140.596	77.632	92.958	268
217	322	8098.955	78.189	94.108	269
218	326	8013.421	77.719	94.384	270
219	323	7927.409	80.088	93.700	271
220	327	7807.944	81.095	94.328	272
221	327	7743.036	81.860	95.332	273
222	329	7668.811	81.509	94.924	274
223	335	7575.444	81.374	93.479	275
224	329	7464.670	81.819	93.936	276
225	332	7392.036	80.831	93.717	277
226	335	7310.393	79.960	93.144	278
227	340	7255.362	79.676	92.414	279
228	340	7166.095	79.450	92.851	280
229	334	7061.516	79.978	94.028	281
230	346	6993.215	81.574	94.667	282
231	348	6909.819	80.730	93.873	283
232	352	6801.721	79.689	95.301	284
233	353	6725.059	80.741	95.604	285
234	351	6622.036	79.734	94.515	286
235	350	6586.165	78.921	94.158	287
236	354	6507.523	79.400	93.514	288
237	358	6402.429	78.441	93.089	289
238	365	6308.780	77.891	93.135	290
239	362	6227.308	77.790	94.566	291
240	363	6165.125	78.766	94.750	292
241	370	6082.706	79.249	95.808	293
242	364	5965.649	79.575	95.225	294
243	371	5930.597	79.057	95.103	295
244	374	5868.270	79.838	94.249	296
245	373	5775.029	79.255	95.772	297
246	378	5728.094	80.278	95.093	298
247	380	5606.850	80.050	95.592	299
248	379	5562.374	79.469	96.047	300
249	381	5473.008	79.620	96.410	301
250	383	5401.980	78.764	96.378	302
251	387	5331.641	78.841	96.279	303
252	391	5270.221	79.041	95.878	304
253	391	5145.416	79.991	95.920	305
254	395	5097.223	79.054	95.694	306
255	397	5049.951	78.977	96.771	307
256	396	4980.988	75.521	98.535	308
257	400	4888.200	75.483	97.551	309
258	405	4791.667	77.331	96.410	310
259	411	4782.799	78.683	95.282	311
260	407	4691.484	78.904	95.737	312
261	405	4618.510	79.773	95.986	313
262	413	4574.419	79.379	96.358	314
263	417	4478.215	78.419	94.377	315
264	416	4451.207	78.446	95.066	316
265	421	4315.391	78.831	96.522	317
266	424	4274.252	79.375	96.514	318
267	423	4230.123	80.084	95.937	319
268	427	4162.810	79.230	94.819	320
269	432	4105.090	78.487	93.569	321
270	434	4034.645	78.103	92.583	322
271	435	4020.987	78.496	90.892	323
272	433	3954.944	78.296	91.813	324
273	439	3898.344	78.934	90.873	325
274	430	3805.514	78.575	91.504	326
275	445	3769.615	80.045	94.225	327
276	444	3746.165	79.596	93.014	328
277	444	3702.764	79.039	94.178	329
278	452	3641.818	79.477	94.955	330
279	445	3587.063	79.740	94.430	331
280	450	3533.423	79.085	95.105	332
281	456	3477.710	78.843	94.939	333
282	456	3409.570	76.998	93.802	334
283	456	3364.820	77.567	95.322	335
284	462	3292.255	76.309	94.786	336
285	458	3278.872	78.613	94.322	337
286	459	3217.240	76.657	94.714	338
287	467	3148.809	76.282	94.691	339
288	465	3143.805	75.846	95.143	340
289	471	3088.846	76.946	95.215	341
290	467	3023.749	76.316	95.441	342
291	468	2997.456	76.998	95.462	343
292	476	2946.235	76.816	96.037	344
293	475	2925.085	78.030	95.755	345
294	472	2844.623	76.963	96.103	346
295	479	2810.084	77.365	97.855	347
296	486	2767.453	76.366	96.450	348
297	483	2713.857	76.827	96.501	349
298	488	2678.562	75.834	96.085	350
299	488	2647.524	75.111	95.585	351
300	492	2616.723	75.552	94.867	352
301	491	2562.196	75.553	94.069	353
302	501	2514.390	75.237	93.464	354
303	495	2468.134	74.947	94.117	355
304	498	2430.249	74.699	93.503	356
305	499	2376.799	74.766	95.324	357
306	503	2336.924	74.914	94.655	358
307	503	2302.803	74.742	93.517	359
308	503	2266.647	73.865	93.573	360
309	502	2253.838	72.408	94.028	361
310	507	2198.872	72.050	94.969	362
311	507	2154.138	73.572	95.051	363
312	506	2126.734	74.301	95.828	364
313	506	2093.762	74.314	97.106	365
314	509	2068.995	73.468	96.079	366
315	512	2028.642	73.239	95.248	367
316	513	1993.226	72.442	94.823	368
317	514	1972.090	73.127	94.228	369
318	520	1945.891	72.807	93.757	370
319	518	1904.200	74.013	92.329	371
320	520	1872.262	73.357	94.019	372
321	526	1840.917	74.396	94.611	373
322	518	1809.109	73.981	96.479	374
323	523	1769.869	74.722	96.008	375
324	520	1746.017	74.646	94.080	376
325	527	1724.604	75.398	94.570	377
326	531	1687.797	74.924	94.055	378
327	527	1658.999	74.867	95.237	379
328	528	1627.319	74.254	95.293	380
329	528	1583.413	72.772	97.401	381
330	527	1571.082	73.062	98.822	382
331	527	1525.709	73.163	96.474	383
332	532	1503.601	72.302	96.575	384
333	539	1484.807	73.093	97.087	385
334	540	1465.155	72.617	97.807	386
335	533	1437.777	72.655	97.338	387
336	540	1398.696	72.978	95.852	388
337	542	1386.173	73.418	95.558	389
338	533	1344.459	72.662	96.774	390
339	540	1332.507	72.068	96.221	391
340	540	1304.634	71.801	96.298	392
341	541	1277.219	71.807	96.598	393
342	543	1251.680	72.022	97.632	394
343	537	1215.742	72.622	96.621	395
344	542	1192.548	72.580	96.739	396
345	541	1178.584	73.928	97.230	397
346	544	1167.722	73.883	98.084	398
347	545	1131.735	73.021	97.323	399
348	542	1114.177	74.694	97.366	400
349	545	1093.220	75.833	97.623	401
