 	Area	StdDev	XM	YM	Slice
165	405	11789.140	92.489	94.192	236
166	367	12035.887	92.932	94.138	237
167	350	12155.968	93.034	92.784	238
168	328	12226.306	92.643	93.529	239
169	319	12276.349	91.880	94.567	240
170	299	12371.134	91.239	93.985	241
171	299	12255.876	91.802	93.362	242
172	291	12215.827	90.979	94.204	243
173	283	12182.787	92.178	94.185	244
174	288	12092.558	92.050	94.187	245
175	285	12012.688	92.002	94.033	246
176	285	11962.072	91.789	93.524	247
177	283	11876.512	92.303	94.341	248
178	278	11807.361	92.043	94.906	249
179	284	11748.119	92.367	94.472	250
180	279	11606.016	92.995	94.380	251
181	282	11530.671	93.169	94.326	252
182	282	11464.030	92.750	93.886	253
183	279	11371.869	91.808	93.840	254
184	282	11257.707	92.497	94.291	255
185	281	11240.746	92.625	93.972	256
186	285	11082.833	92.899	93.183	257
187	282	11028.588	91.820	94.061	258
188	286	10890.240	92.394	94.195	259
189	288	10815.212	91.583	93.382	260
190	288	10747.767	91.610	94.336	261
191	288	10657.832	91.958	94.438	262
192	289	10546.273	90.416	93.318	263
193	292	10475.377	91.001	92.823	264
194	296	10270.709	92.168	93.951	265
195	293	10235.208	91.711	94.203	266
196	294	10139.309	92.341	94.533	267
197	296	10030.966	90.617	93.501	268
198	299	9885.720	92.098	93.809	269
199	294	9882.300	91.185	94.120	270
200	301	9758.465	90.528	94.184	271
201	302	9683.526	90.882	94.234	272
202	305	9541.543	91.969	94.816	273
203	303	9492.888	91.093	94.430	274
204	308	9404.969	91.011	95.183	275
205	306	9270.628	91.138	95.849	276
206	307	9173.278	91.623	95.642	277
207	310	9071.657	91.800	96.141	278
208	311	8953.278	92.202	96.348	279
209	313	8856.002	90.947	97.065	280
210	310	8773.440	91.475	96.734	281
211	313	8728.819	91.459	95.085	282
212	320	8612.973	91.853	95.028	283
213	318	8551.983	91.836	95.062	284
214	319	8443.081	91.773	95.877	285
215	322	8316.493	91.617	95.474	286
216	321	8226.731	90.871	95.344	287
217	327	8123.756	90.593	96.297	288
218	328	7990.862	91.626	97.147	289
219	330	7900.129	92.031	94.926	290
220	329	7801.906	91.960	95.600	291
221	328	7703.476	91.832	95.890	292
222	334	7654.414	91.270	96.033	293
223	337	7543.206	91.312	95.735	294
224	339	7427.717	90.830	96.536	295
225	340	7376.405	90.858	96.562	296
226	343	7264.729	91.415	96.496	297
227	346	7208.014	91.045	95.687	298
228	346	7110.410	91.640	95.550	299
229	347	7041.484	91.497	95.747	300
230	350	6938.328	91.148	95.516	301
231	352	6890.156	90.894	94.747	302
232	350	6734.378	90.842	96.201	303
233	358	6655.136	90.933	95.973	304
234	361	6571.310	91.670	95.535	305
235	359	6446.845	91.169	94.774	306
236	359	6392.109	91.115	94.828	307
237	363	6310.652	91.624	93.955	308
238	370	6191.507	91.951	94.918	309
239	374	6088.646	92.053	96.065	310
240	373	6018.663	91.844	95.924	311
241	375	5916.675	92.222	96.807	312
242	377	5811.583	91.767	97.741	313
243	379	5753.649	92.424	98.229	314
244	381	5643.895	92.656	98.000	315
245	387	5610.829	92.291	97.813	316
246	385	5517.315	92.447	97.994	317
247	392	5438.293	91.578	98.084	318
248	387	5377.518	91.994	98.242	319
249	391	5283.436	92.092	98.724	320
250	393	5216.613	91.114	98.370	321
251	394	5134.446	91.446	99.171	322
252	394	5056.506	91.992	98.941	323
253	398	4997.838	91.790	97.587	324
254	397	4916.359	91.283	97.981	325
255	406	4903.707	91.566	95.557	326
256	406	4802.135	91.549	94.632	327
257	408	4754.655	91.396	95.548	328
258	409	4701.763	91.998	95.073	329
259	409	4610.759	91.393	95.279	330
260	412	4525.262	90.296	94.597	331
261	416	4478.279	91.544	94.984	332
262	415	4417.908	91.528	94.637	333
263	419	4333.193	90.893	93.965	334
264	424	4315.252	91.397	94.193	335
265	419	4247.083	91.661	94.056	336
