 	Area	StdDev	XM	YM	Major	Minor	Angle	Slice
1	415	9092.623	67.550	69.519	23.672	22.321	74.547	1
2	225	13405.129	265.659	90.201	17.339	16.522	98.100	1
3	219	12525.262	194.404	92.564	16.942	16.459	72.133	1
4	435	5487.187	122.570	109.978	24.537	22.572	135.625	1
5	148	442.301	75.316	139.488	15.052	12.519	170.275	1
6	432	5922.556	67.321	68.719	24.275	22.659	20.187	2
7	415	10894.098	265.548	89.865	23.254	22.723	154.344	2
8	369	11923.415	194.231	92.471	22.461	20.918	172.193	2
9	535	3125.467	122.542	109.927	27.308	24.944	129.279	2
10	554	3720.339	67.334	67.423	28.828	24.469	159.914	3
11	426	6721.143	265.292	89.322	23.488	23.093	95.495	3
12	437	8639.423	194.081	91.972	23.708	23.469	33.198	3
13	704	1579.741	122.382	109.274	31.062	28.857	125.085	3
14	407	9172.193	67.574	69.380	23.555	22.000	73.780	4
15	222	13285.466	265.566	89.403	17.106	16.524	111.256	4
16	218	12469.472	194.299	92.145	16.763	16.558	121.161	4
17	430	5644.961	122.528	109.822	24.212	22.613	133.784	4
18	105	527.117	72.177	121.322	12.208	10.951	23.270	4
19	149	442.583	75.244	139.347	14.873	12.755	172.805	4
20	431	6013.438	67.251	68.568	24.088	22.782	19.278	5
21	413	11052.190	265.412	89.168	23.097	22.767	97.317	5
22	341	12273.024	194.097	92.081	21.935	19.794	160.118	5
23	531	3176.840	122.428	109.758	27.202	24.854	124.629	5
24	551	3747.851	67.303	67.517	28.801	24.359	159.670	6
25	425	7006.882	265.189	89.174	23.310	23.214	100.135	6
26	435	8850.356	193.969	91.848	23.835	23.237	11.661	6
27	695	1594.083	122.361	109.295	30.832	28.701	123.304	6
28	408	9166.424	67.539	69.473	23.525	22.082	87.130	7
29	220	13251.667	265.604	89.552	17.043	16.435	111.268	7
30	219	12443.658	194.334	92.284	16.885	16.514	98.560	7
31	434	5688.963	122.407	110.016	24.467	22.585	128.406	7
32	153	428.837	75.344	139.404	14.776	13.184	170.868	7
33	426	6024.273	67.275	68.886	24.197	22.416	17.580	8
34	406	11162.624	265.428	89.453	22.945	22.529	150.259	8
35	340	12285.570	194.132	92.295	22.062	19.622	167.462	8
36	520	3174.525	122.396	110.082	27.087	24.443	126.335	8
37	553	3786.926	67.274	67.538	28.895	24.368	159.517	9
38	426	7318.571	265.150	88.946	23.375	23.204	105.271	9
39	439	8848.846	193.952	91.740	23.931	23.357	18.374	9
40	694	1617.965	122.277	109.362	30.877	28.618	124.942	9
41	409	9229.200	67.487	69.268	23.777	21.901	74.353	10
42	219	13266.067	265.523	89.124	16.881	16.518	71.382	10
43	215	12454.440	194.233	91.853	16.771	16.323	51.973	10
44	433	5660.495	122.378	109.820	24.266	22.720	134.908	10
45	101	514.609	72.040	121.353	12.046	10.676	26.370	10
46	155	446.240	75.308	139.390	15.132	13.042	175.156	10
47	431	6193.464	67.264	68.446	24.058	22.810	14.260	11
48	405	11278.204	265.313	89.045	22.883	22.534	100.951	11
49	331	12400.942	194.037	91.803	21.928	19.219	165.433	11
50	522	3157.715	122.300	109.628	26.926	24.684	122.838	11
51	106	398.384	75.537	138.649	12.753	10.583	29.430	11
52	544	3853.343	67.283	67.451	28.699	24.135	157.930	12
53	429	7309.506	265.092	88.950	23.512	23.231	93.746	12
54	435	8942.113	193.878	91.615	23.892	23.182	35.661	12
55	689	1671.471	122.213	109.199	30.632	28.639	127.235	12
56	406	9147.640	67.520	69.147	23.647	21.861	82.571	13
57	216	13180.708	265.450	89.375	16.925	16.250	91.517	13
58	214	12346.983	194.189	91.866	16.665	16.350	45.973	13
59	431	5727.194	122.283	109.780	24.323	22.561	133.916	13
60	103	490.253	72.019	121.130	12.313	10.651	18.813	13
61	153	447.273	75.064	139.356	14.786	13.175	2.551	13
62	432	6103.884	67.240	68.660	24.094	22.829	18.247	14
63	404	11292.269	265.284	89.509	22.843	22.518	125.712	14
64	324	12433.833	193.952	92.051	21.636	19.066	160.704	14
65	512	3172.599	122.314	109.945	26.584	24.523	123.299	14
66	545	3843.288	67.195	67.414	28.896	24.014	156.594	15
67	427	7346.141	265.096	89.064	23.391	23.242	130.119	15
68	435	8965.424	193.867	91.629	23.938	23.137	23.293	15
69	688	1692.644	122.187	109.257	30.770	28.469	126.275	15
70	402	9133.934	67.660	69.350	23.332	21.938	96.860	16
71	217	13137.771	265.581	89.251	17.113	16.145	82.283	16
72	214	12350.186	194.298	91.805	16.665	16.350	67.085	16
73	432	5834.738	122.425	109.931	24.301	22.634	133.613	16
74	105	530.851	72.126	121.388	12.377	10.802	12.601	16
75	153	415.989	75.102	139.607	14.446	13.485	174.768	16
76	433	6185.578	67.259	68.656	24.065	22.909	18.882	17
77	398	11421.431	265.353	89.042	22.782	22.244	149.601	17
78	303	12657.095	194.115	91.744	20.540	18.783	160.633	17
79	512	3235.454	122.398	109.811	26.783	24.340	125.262	17
80	107	379.895	74.892	139.142	13.730	9.923	42.810	17
81	539	3915.321	67.242	67.599	28.578	24.014	156.497	18
82	428	7591.214	265.190	88.848	23.634	23.058	95.208	18
83	435	9146.674	193.899	91.433	23.902	23.172	35.394	18
84	677	1693.168	122.329	109.097	30.289	28.459	129.066	18
85	404	9210.920	67.434	69.411	23.304	22.073	88.831	19
86	217	13238.850	265.461	89.077	16.865	16.383	91.187	19
87	217	12292.600	194.206	91.583	17.059	16.197	67.751	19
88	428	5827.647	122.341	109.812	24.176	22.541	138.201	19
89	105	502.902	72.113	121.554	12.389	10.791	11.702	19
90	162	427.825	75.237	139.601	14.962	13.786	166.273	19
91	425	6217.048	67.109	68.885	23.973	22.572	22.217	20
92	403	11382.080	265.336	89.178	22.869	22.437	90.024	20
93	305	12647.051	193.951	91.681	21.224	18.297	156.832	20
94	509	3263.827	122.325	109.904	26.613	24.352	127.666	20
95	110	344.269	74.775	139.479	13.501	10.374	36.288	20
96	541	3946.972	67.076	67.902	28.623	24.066	159.156	21
97	430	7477.726	265.092	88.875	23.575	23.224	103.347	21
98	437	9141.157	193.851	91.424	23.983	23.200	29.198	21
99	681	1709.665	122.259	109.420	30.559	28.374	133.158	21
100	409	9083.924	67.341	69.611	23.423	22.233	100.482	22
101	214	13111.897	265.265	88.888	16.662	16.353	99.200	22
102	221	12287.837	194.013	91.461	17.092	16.463	83.687	22
103	431	5773.993	122.270	109.970	24.376	22.513	137.046	22
104	109	486.336	71.850	121.738	12.811	10.833	12.094	22
105	164	431.340	75.198	139.761	14.977	13.943	179.780	22
106	431	6219.364	67.043	68.853	24.039	22.828	22.678	23
107	396	11472.517	265.191	88.758	22.478	22.431	127.811	23
108	282	12970.796	193.914	91.435	19.953	17.995	148.459	23
109	512	3276.224	122.306	109.883	26.469	24.629	129.685	23
110	105	350.665	75.087	139.368	12.618	10.595	35.348	23
111	543	3923.514	67.090	67.545	28.565	24.204	159.049	24
112	427	7668.500	264.926	88.113	23.360	23.273	92.890	24
113	432	9241.411	193.715	90.768	23.652	23.256	49.908	24
114	685	1680.826	122.284	109.078	30.716	28.394	129.972	24
115	407	9119.659	67.275	69.425	23.239	22.299	93.704	25
116	214	13130.154	265.278	88.555	16.896	16.127	81.269	25
117	217	12282.959	194.048	91.155	16.981	16.271	85.164	25
118	431	5740.522	122.315	109.750	24.282	22.600	137.278	25
119	110	511.420	72.016	121.474	12.603	11.113	16.358	25
120	162	449.421	75.217	139.392	15.566	13.251	163.678	25
121	431	6181.174	66.973	68.983	24.091	22.779	24.810	26
122	394	11476.022	265.129	88.883	22.552	22.244	122.906	26
123	282	12887.791	193.802	91.423	19.852	18.087	148.114	26
124	511	3218.485	122.298	109.881	26.596	24.463	130.600	26
125	104	344.266	74.934	139.087	13.151	10.069	48.214	26
126	546	3931.392	66.923	67.964	28.812	24.128	157.958	27
127	426	7791.706	264.813	88.487	23.412	23.167	102.523	27
128	431	9309.355	193.590	91.222	23.599	23.254	37.272	27
129	681	1686.933	122.211	109.469	30.597	28.339	130.671	27
130	406	9166.533	67.110	69.640	23.370	22.120	88.027	28
131	213	13044.737	265.137	88.773	16.672	16.267	66.969	28
