,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,3607.8,3596.6
43,3564.0,3565.6
44,3497.0,3498.4
45,3422.2,3373.0
46,3437.6,3386.8
47,3315.0,3267.8
48,3297.4,3249.4
49,3198.6,3166.4
50,3043.4,3024.4
51,2986.8,2962.6
52,2809.4,2757.0
53,2667.4,2619.0
54,2608.4,2570.4
55,2464.8,2433.2
56,2374.2,2328.2
57,2300.8,2219.4
58,2273.6,2190.6
59,2233.6,2168.0
60,2184.4,2146.0
61,2184.4,2100.8
62,2202.4,2110.0
63,2312.6,2208.0
64,2347.0,2243.6
65,2430.6,2321.2
66,2580.0,2502.8
67,2700.2,2655.8
68,2888.6,2807.2
69,3126.4,3104.6
70,3376.8,3405.8
71,3627.4,3638.4
72,3930.2,4059.4
73,4243.6,4416.8
74,4669.6,4870.8
75,4857.0,5102.0
76,5166.6,5492.2
77,5535.2,5952.4
78,5797.8,6246.6
79,6260.0,6842.6
80,6524.4,7196.8
81,6806.2,7527.0
82,7148.0,7837.4
83,7392.8,8231.0
84,7822.8,8686.4
85,8009.4,8937.6
86,8216.4,9178.6
87,8423.4,9401.0
88,8557.2,9620.0
89,8772.6,9915.0
90,8845.8,9977.6
91,8971.2,10220.8
92,9045.8,10217.8
93,9134.2,10349.4
94,9116.4,10384.4
95,9039.4,10289.0
96,9026.0,10172.8
97,8956.6,10075.6
98,8739.2,9774.0
99,8630.2,9621.2
100,8415.6,9370.0
101,8445.8,9370.4
102,8218.8,9045.2
103,8080.8,8935.0
104,8041.4,8845.0
105,7719.4,8376.6
106,7583.8,8199.4
107,7490.6,8035.4
108,7316.8,7795.8
109,7171.4,7648.6
110,7075.4,7461.0
111,6909.2,7196.2
112,6937.4,7217.2
113,6901.2,7155.4
114,6853.0,7067.0
115,6872.8,7085.4
116,6970.4,7153.0
117,7035.4,7236.4
118,7207.2,7273.0
119,7398.6,7469.6
120,7605.2,7639.0
121,7960.0,8016.0
122,8397.6,8501.4
123,8725.0,8787.0
124,9062.2,9223.6
125,9448.4,9597.0
126,9938.6,10108.8
127,10336.8,10546.4
128,10873.8,11176.4
129,11409.8,11798.0
130,12054.8,12483.8
131,12548.2,12959.0
132,13217.2,13806.6
133,13976.0,14612.6
134,14593.6,15325.4
135,15412.4,16172.8
136,15880.2,16638.6
137,16830.2,17643.8
138,17455.2,18389.2
139,18127.2,19324.6
140,18722.0,19799.0
141,19272.0,20358.6
142,20222.6,21514.2
143,21436.4,22826.8
144,21913.0,23404.6
145,22674.8,24196.4
146,23128.0,24692.2
147,23944.2,25549.0
148,25086.4,26792.6
149,25743.4,27552.2
150,26523.2,28493.0
151,27329.0,29336.8
152,28482.4,30728.2
153,29131.0,31384.6
154,29615.4,31970.8
155,30347.2,32712.8
156,31157.6,33577.6
157,31532.0,34157.4
158,32354.0,34904.6
159,32791.4,35502.4
160,33051.4,35637.6
161,33944.4,36783.2
162,33870.4,36516.0
163,34815.8,37593.0
164,35834.0,38936.2
165,36015.8,39031.8
166,36394.6,39310.6
167,36566.4,39452.2
168,37061.8,40053.4
169,37659.0,40613.4
170,37838.8,40841.4
171,38597.4,41680.8
172,38950.2,42091.0
173,39380.8,42503.4
174,39356.8,42510.2
175,39711.0,42905.6
176,39408.0,42430.6
177,40140.2,43195.6
178,40468.4,43718.6
179,40584.8,43839.8
180,40712.0,43858.2
181,40736.8,43907.6
182,40719.4,43628.8
183,40863.4,43890.8
184,41076.4,44040.2
185,41248.4,44267.4
186,41460.2,44471.2
187,41308.8,44133.6
188,41339.0,44308.0
189,41253.0,44136.2
190,41232.4,44024.2
191,41244.4,44031.4
192,41105.4,43629.6
193,41439.8,44020.0
194,41501.4,44243.6
195,41082.0,43603.4
196,41238.2,43708.6
197,41211.6,43796.4
198,40811.8,43340.0
199,41007.4,43394.2
200,40713.0,42989.0
201,40847.4,42897.2
202,40598.0,42776.6
203,40206.2,42195.8
204,40058.8,42106.4
205,39759.2,41807.6
206,39854.4,41912.4
207,39881.8,41918.0
208,39561.0,41502.4
209,39325.0,41478.4
210,39452.4,41534.6
211,39447.4,41642.0
212,39572.8,41747.8
213,39118.2,41541.0
214,38716.2,41034.6
215,38712.6,41015.8
216,38468.6,40671.4
217,38555.6,40846.4
218,38106.2,40302.2
219,38065.4,40393.8
220,37934.0,40302.2
221,37374.0,39577.8
222,37129.8,39245.2
223,36851.4,38847.0
224,36562.2,38543.8
225,36839.0,38935.0
226,36237.2,38266.6
227,35676.0,37650.8
228,35701.0,37594.0
229,35260.8,37203.2
230,35128.4,36969.8
231,34954.6,36716.2
232,34636.2,36342.8
233,34431.2,36153.2
234,34187.2,35970.4
235,33824.4,35646.0
236,33818.0,35611.0
237,33303.2,34906.6
238,32804.8,34451.0
239,32805.4,34535.6
240,32549.6,34071.2
241,32175.4,33832.8
242,31840.4,33361.4
243,31695.6,33282.8
244,31435.6,33087.6
245,31177.0,32740.4
246,30877.2,32358.8
247,30337.8,31835.0
248,30286.8,31653.2
249,29899.0,31333.6
250,29815.4,31243.0
251,29428.4,30721.2
252,29091.8,30401.2
253,28831.4,30129.8
254,28570.8,29939.4
255,28259.2,29626.4
256,28074.2,29383.8
257,27760.8,29046.8
258,27434.2,28705.6
259,27299.6,28539.6
260,27254.8,28392.8
261,27007.2,28208.6
262,26535.4,27447.4
263,26357.8,27488.0
264,26124.4,27218.2
265,25800.4,26815.4
266,25559.6,26539.6
267,25220.2,26142.8
268,24945.8,25913.0
269,24791.8,25737.8
270,24550.8,25541.4
271,24312.0,25184.6
272,23985.6,24967.6
273,23680.8,24529.8
274,23470.6,24385.0
275,23218.2,24132.4
276,23072.0,24019.2
277,22718.0,23547.6
278,22551.6,23460.0
279,22157.8,23034.6
280,21924.0,22755.8
281,21780.2,22553.0
282,21403.4,22113.8
283,21269.4,21974.6
284,20931.2,21665.2
285,20749.6,21550.2
286,20524.6,21227.2
287,20182.6,20863.2
288,20063.0,20637.8
289,19999.6,20624.0
290,19706.0,20272.0
291,19414.0,20000.6
292,19302.4,20015.4
293,18834.4,19443.8
294,18682.0,19347.4
295,18414.4,18956.8
296,18399.0,19030.2
297,18120.8,18698.4
298,17975.2,18486.2
299,17719.2,18272.2
300,17581.8,18078.2
301,17413.4,17969.6
302,17138.8,17607.4
303,17039.2,17633.2
304,16853.4,17358.8
305,16667.0,17146.6
306,16342.0,16757.8
307,16173.8,16657.0
308,16033.8,16541.2
309,15742.8,16201.2
310,15678.6,16161.4
311,15368.0,15932.2
312,15273.4,15803.6
313,14924.6,15403.2
314,14927.6,15360.4
315,14663.6,15144.4
316,14609.6,15025.4
317,14306.8,14708.4
318,14229.8,14667.2
319,14030.4,14511.4
320,13997.0,14333.6
321,13693.6,14059.2
322,13425.2,13883.6
323,13264.8,13686.8
324,13128.0,13580.2
325,12957.8,13300.8
326,12807.8,13165.0
327,12725.8,13034.6
328,12550.4,12886.0
329,12433.4,12856.6
330,12257.4,12556.4
331,12057.6,12312.0
332,12010.0,12352.6
333,11792.4,12092.2
334,11675.4,11934.8
335,11505.6,11803.6
336,11432.0,11717.6
337,11171.2,11444.4
338,10961.6,11224.4
339,10906.8,11162.8
340,10783.2,10990.0
341,10635.6,10868.2
342,10493.4,10741.4
343,10394.6,10636.0
344,10302.2,10563.6
345,10142.8,10273.2
346,9978.6,10171.4
347,9931.4,10210.4
348,9774.2,10004.2
349,9708.0,9992.6
350,9502.8,9735.2
351,9499.8,9719.2
352,9313.4,9473.8
353,9178.6,9431.4
354,9113.0,9312.4
355,8939.0,9135.6
356,8903.2,9108.0
357,8793.6,8972.8
358,8673.8,8814.4
359,8591.2,8796.0
360,8435.8,8619.6
361,8333.0,8494.2
